""	"Indicator.Name"
"SH.DTH.COMM.3559.MA.ZS"	"Cause of death, by communicable diseases, ages 35-59, male (% of relevant age group)"
"SH.DTH.INJR.1534.FE.ZS"	"Cause of death, by injury, ages 15-34, female  (% of relevant age group)"
"SH.DTH.INJR.1534.MA.ZS"	"Cause of death, by injury, ages 15-34, male (% of relevant age group)"
"SH.DTH.INJR.3559.FE.ZS"	"Cause of death, by injury, ages 35-59, female (% of relevant age group)"
"SH.DTH.INJR.3559.MA.ZS"	"Cause of death, by injury, ages 35-59, male (% of relevant age group)"
"SH.DTH.NCOM.1534.FE.ZS"	"Cause of death, by non-communicable diseases, ages 15-34, female (% of relevant age group)"
"SH.DTH.NCOM.1534.MA.ZS"	"Cause of death, by non-communicable diseases, ages 15-34, male (% of relevant age group)"
"SH.DTH.NCOM.3559.FE.ZS"	"Cause of death, by non-communicable diseases, ages 35-59, female (% of relevant age group)"
"SH.DTH.NCOM.3559.MA.ZS"	"Cause of death, by non-communicable diseases, ages 35-59, male (% of relevant age group)"
"SL.TLF.0714.FE.ZS"	"Children in employment, female (% of female children ages 7-14)"
"SL.TLF.0714.MA.ZS"	"Children in employment, male (% of male children ages 7-14)"
"SE.PRM.UNER.FE"	"Children out of school, primary, female"
"SE.PRM.UNER.MA"	"Children out of school, primary, male"
"SP.REG.BRTH.FE.ZS"	"Completeness of birth registration, female (%)"
"SP.REG.BRTH.MA.ZS"	"Completeness of birth registration, male (%)"
"SP.DYN.CONU.ZS"	"Contraceptive prevalence, any methods (% of women ages 15-49)"
"SP.DYN.CONM.ZS"	"Contraceptive prevalence, modern methods (% of women ages 15-49)"
"SL.FAM.WORK.FE.ZS"	"Contributing family workers, female (% of female employment) (modeled ILO estimate)"
"SL.FAM.WORK.MA.ZS"	"Contributing family workers, male (% of male employment) (modeled ILO estimate)"
"IC.REG.COST.PC.FE.ZS"	"Cost of business start-up procedures, female (% of GNI per capita)"
"IC.REG.COST.PC.MA.ZS"	"Cost of business start-up procedures, male (% of GNI per capita)"
"SP.DYN.CDRT.IN"	"Death rate, crude (per 1,000 people)"
"SG.DMK.HLTH.HB.ZS"	"Decision maker about a woman's own health care: mainly husband (% of women age 15-49)"
"SG.DMK.HLTH.WF.ZS"	"Decision maker about a woman's own health care: mainly wife (% of women age 15-49)"
"SG.DMK.HLTH.OT.ZS"	"Decision maker about a woman's own health care: other (% of women age 15-49)"
"SG.DMK.HLTH.SE.ZS"	"Decision maker about a woman's own health care: someone else (% of women age 15-49)"
"SG.DMK.HLTH.WH.ZS"	"Decision maker about a woman's own health care: wife and husband jointly (% of women age 15-49)"
"SG.DMK.VISI.HB.ZS"	"Decision maker about a woman's visits to her family or relatives: mainly husband (% of women age 15-49)"
"SG.DMK.VISI.WF.ZS"	"Decision maker about a woman's visits to her family or relatives: mainly wife (% of women age 15-49)"
"SG.DMK.VISI.OT.ZS"	"Decision maker about a woman's visits to her family or relatives: other (% of women age 15-49)"
"SG.DMK.VISI.SE.ZS"	"Decision maker about a woman's visits to her family or relatives: someone else (% of women age 15-49)"
"SG.DMK.PRCH.HB.ZS"	"Decision maker about major household purchases: mainly husband (% of women age 15-49)"
"SG.DMK.PRCH.WF.ZS"	"Decision maker about major household purchases: mainly wife (% of women age 15-49)"
"SG.DMK.PRCH.OT.ZS"	"Decision maker about major household purchases: other (% of women age 15-49)"
"SG.DMK.PRCH.SE.ZS"	"Decision maker about major household purchases: someone else (% of women age 15-49)"
"SG.DMK.PRCH.WH.ZS"	"Decision maker about major household purchases: wife and husband jointly (% of women age 15-49)"
"SG.DMK.VISI.WH.ZS"	"Decision maker about Visits to her family or relatives: wife and husband jointly (% of women age 15-49)"
"SH.FPL.SATI.ZS"	"Demand for family planning satisfied by any methods (% of married women with demand for family planning)"
"SH.FPL.SATM.ZS"	"Demand for family planning satisfied by modern methods (% of married women with demand for family planning)"
"SE.TER.CUAT.BA.FE.ZS"	"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)"
"SE.TER.CUAT.BA.MA.ZS"	"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)"
"SE.SEC.CUAT.LO.FE.ZS"	"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)"
"SE.SEC.CUAT.LO.MA.ZS"	"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)"
"SE.SEC.CUAT.PO.FE.ZS"	"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)"
"SE.SEC.CUAT.PO.MA.ZS"	"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)"
"SE.PRM.CUAT.FE.ZS"	"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)"
"SE.PRM.CUAT.MA.ZS"	"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)"
"SE.TER.CUAT.ST.FE.ZS"	"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)"
"SE.TER.CUAT.ST.MA.ZS"	"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)"
"SE.SEC.CUAT.UP.FE.ZS"	"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)"
"SE.SEC.CUAT.UP.MA.ZS"	"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)"
"SE.TER.CUAT.MS.FE.ZS"	"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)"
"SE.TER.CUAT.MS.MA.ZS"	"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)"
"SE.TER.CUAT.DO.FE.ZS"	"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)"
"SE.TER.CUAT.DO.MA.ZS"	"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)"
"SL.EMP.MPYR.FE.ZS"	"Employers, female (% of female employment) (modeled ILO estimate)"
"SL.EMP.MPYR.MA.ZS"	"Employers, male (% of male employment) (modeled ILO estimate)"
"SL.AGR.EMPL.FE.ZS"	"Employment in agriculture, female (% of female employment) (modeled ILO estimate)"
"SL.AGR.EMPL.MA.ZS"	"Employment in agriculture, male (% of male employment) (modeled ILO estimate)"
"SL.IND.EMPL.FE.ZS"	"Employment in industry, female (% of female employment) (modeled ILO estimate)"
"SL.IND.EMPL.MA.ZS"	"Employment in industry, male (% of male employment) (modeled ILO estimate)"
"SL.SRV.EMPL.FE.ZS"	"Employment in services, female (% of female employment) (modeled ILO estimate)"
"SL.SRV.EMPL.MA.ZS"	"Employment in services, male (% of male employment) (modeled ILO estimate)"
"SL.EMP.TOTL.SP.FE.ZS"	"Employment to population ratio, 15+, female (%) (modeled ILO estimate)"
"SL.EMP.TOTL.SP.FE.NE.ZS"	"Employment to population ratio, 15+, female (%) (national estimate)"
"SL.EMP.TOTL.SP.MA.ZS"	"Employment to population ratio, 15+, male (%) (modeled ILO estimate)"
"SL.EMP.TOTL.SP.MA.NE.ZS"	"Employment to population ratio, 15+, male (%) (national estimate)"
"SL.EMP.TOTL.SP.NE.ZS"	"Employment to population ratio, 15+, total (%) (national estimate)"
"SL.EMP.1524.SP.FE.ZS"	"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)"
"SL.EMP.1524.SP.FE.NE.ZS"	"Employment to population ratio, ages 15-24, female (%) (national estimate)"
"SL.EMP.1524.SP.MA.ZS"	"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)"
"SL.EMP.1524.SP.MA.NE.ZS"	"Employment to population ratio, ages 15-24, male (%) (national estimate)"
"SL.EMP.1524.SP.NE.ZS"	"Employment to population ratio, ages 15-24, total (%) (national estimate)"
"HD.HCI.EYRS"	"Expected Years of School"
"HD.HCI.EYRS.FE"	"Expected Years of School, Female"
"HD.HCI.EYRS.MA"	"Expected Years of School, Male"
"SE.SCH.LIFE.FE"	"Expected years of schooling, female"
"SE.SCH.LIFE.MA"	"Expected years of schooling, male"
"SH.STA.FGMS.ZS"	"Female genital mutilation prevalence (%)"
"SH.STA.FGMS.Q1.ZS"	"Female genital mutilation prevalence (%): Q1 (lowest)"
"SH.STA.FGMS.Q2.ZS"	"Female genital mutilation prevalence (%): Q2"
"SH.STA.FGMS.Q3.ZS"	"Female genital mutilation prevalence (%): Q3"
"SH.STA.FGMS.Q4.ZS"	"Female genital mutilation prevalence (%): Q4"
"SH.STA.FGMS.Q5.ZS"	"Female genital mutilation prevalence (%): Q5 (highest)"
"SP.HOU.FEMA.ZS"	"Female headed households (% of households with a female head)"
"SG.POP.MIGR.FE.ZS"	"Female migrants (% of international migrant stock)"
"SE.LPV.PRIM.OOS.FE"	"Female primary school age children out-of-school (%)"
"SG.GEN.TECH.ZS"	"Female professional and technical workers (% of total)"
"SE.LPV.PRIM.BMP.FE"	"Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold"
"SL.EMP.SMGT.FE.ZS"	"Female share of employment in senior and middle management (%)"
"SE.TER.GRAD.FE.SI.ZS"	"Female share of graduates from Science, Technology, Engineering and Mathematics (STEM) programmes, tertiary (%)"
"SP.DYN.TFRT.IN"	"Fertility rate, total (births per woman)"
"fin1.t.a.2"	"Financial institution account,female(% age 15+)"
"fin1.t.a.1"	"Financial institution account,male(% age 15+)"
"IC.FRM.FEMO.ZS"	"Firms with female participation in ownership (% of firms)"
"IC.FRM.FEMM.ZS"	"Firms with female top manager (% of firms)"
"HD.HCI.STNT"	"Fraction of Children Under 5 Not Stunted"
"HD.HCI.STNT.FE"	"Fraction of Children Under 5 Not Stunted, Female"
"HD.HCI.STNT.MA"	"Fraction of Children Under 5 Not Stunted, Male"
"NY.GDP.MKTP.CD"	"GDP (current US$)"
"NY.GDP.MKTP.KD.ZG"	"GDP growth (annual %)"
"NY.GDP.PCAP.KD"	"GDP per capita (constant 2010 US$)"
"NY.GDP.PCAP.CD"	"GDP per capita (Current US$)"
"SI.POV.GINI"	"GINI index (World Bank estimate)"
"NY.GNP.PCAP.CD"	"GNI per capita, Atlas method (current US$)"
"NY.GNP.PCAP.PP.CD"	"GNI per capita, PPP (current international $)"
"NY.GNP.ATLS.CD"	"GNI, Atlas method (current US$)"
"SE.XPD.TOTL.GD.ZS"	"Government expenditure on education, total (% of GDP)"
"SE.XPD.PRIM.PC.ZS"	"Government expenditure per student, primary (% of GDP per capita)"
"SE.XPD.SECO.PC.ZS"	"Government expenditure per student, secondary (% of GDP per capita)"
"SE.PRM.CMPL.FE.ZS"	"Gross graduation ratio, primary, female (%)"
"SE.PRM.CMPL.MA.ZS"	"Gross graduation ratio, primary, male (%)"
"SE.TER.CMPL.FE.ZS"	"Gross graduation ratio, tertiary, female (%)"
"SE.TER.CMPL.MA.ZS"	"Gross graduation ratio, tertiary, male (%)"
"HD.HCI.HLOS"	"Harmonized Test Scores"
"HD.HCI.HLOS.FE"	"Harmonized Test Scores, Female"
"HD.HCI.HLOS.MA"	"Harmonized Test Scores, Male"
"SG.H2O.TM30.HH.ZS"	"Households with water 30 minutes or longer away round trip (%)"
"SG.H2O.TL30.HH.ZS"	"Households with water less than 30 minutes away round trip (%)"
"SG.H2O.PRMS.HH.ZS"	"Households with water on the premises (%)"
"HD.HCI.OVRL"	"Human Capital Index (HCI) (scale 0-1)"
"HD.HCI.OVRL.FE"	"Human Capital Index (HCI), Female (scale 0-1)"
"HD.HCI.OVRL.LB.FE"	"Human Capital Index (HCI), Female, Lower Bound (scale 0-1)"
"HD.HCI.OVRL.UB.FE"	"Human Capital Index (HCI), Female, Upper Bound (scale 0-1)"
"HD.HCI.OVRL.LB"	"Human Capital Index (HCI), Lower Bound (scale 0-1)"
"HD.HCI.OVRL.MA"	"Human Capital Index (HCI), Male (scale 0-1)"
"HD.HCI.OVRL.LB.MA"	"Human Capital Index (HCI), Male, Lower Bound (scale 0-1)"
"HD.HCI.OVRL.UB.MA"	"Human Capital Index (HCI), Male, Upper Bound (scale 0-1)"
"HD.HCI.OVRL.UB"	"Human Capital Index (HCI), Upper Bound (scale 0-1)"
"SH.IMM.IDPT"	"Immunization, DPT (% of children ages 12-23 months)"
"SH.IMM.MEAS"	"Immunization, measles (% of children ages 12-23 months)"
"FP.CPI.TOTL.ZG"	"Inflation, consumer prices (annual %)"
"SL.ISV.IFRM.FE.ZS"	"Informal employment, female (% of total non-agricultural employment)"
"SL.ISV.IFRM.MA.ZS"	"Informal employment, male (% of total non-agricultural employment)"
"SL.TLF.ACTI.1524.FE.ZS"	"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)"
"SL.TLF.ACTI.1524.FE.NE.ZS"	"Labor force participation rate for ages 15-24, female (%) (national estimate)"
"SL.TLF.ACTI.1524.MA.ZS"	"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)"
"SL.TLF.ACTI.1524.MA.NE.ZS"	"Labor force participation rate for ages 15-24, male (%) (national estimate)"
"SL.TLF.CACT.FE.ZS"	"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)"
"SL.TLF.CACT.FE.NE.ZS"	"Labor force participation rate, female (% of female population ages 15+) (national estimate)"
"SL.TLF.ACTI.FE.ZS"	"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)"
"SL.TLF.CACT.MA.ZS"	"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)"
"SL.TLF.CACT.MA.NE.ZS"	"Labor force participation rate, male (% of male population ages 15+) (national estimate)"
"SL.TLF.ACTI.MA.ZS"	"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)"
"SL.TLF.ADVN.FE.ZS"	"Labor force with advanced education, female (% of female working-age population with advanced education)"
"SL.TLF.ADVN.MA.ZS"	"Labor force with advanced education, male (% of male working-age population with advanced education)"
"SL.TLF.BASC.FE.ZS"	"Labor force with basic education, female (% of female working-age population with basic education)"
"SL.TLF.BASC.MA.ZS"	"Labor force with basic education, male (% of male working-age population with basic education)"
"SL.TLF.INTM.FE.ZS"	"Labor force with intermediate education, female (% of female working-age population with intermediate education)"
"SL.TLF.INTM.MA.ZS"	"Labor force with intermediate education, male (% of male working-age population with intermediate education)"
"SL.TLF.TOTL.FE.IN"	"Labor force, female"
"SL.TLF.TOTL.FE.ZS"	"Labor force, female (% of total labor force)"
"SL.TLF.TOTL.IN"	"Labor force, total"
"SG.LAW.EQRM.WK"	"Law mandates equal remuneration for females and males for work of equal value (1=yes; 0=no)"
"SG.LAW.NODC.HR"	"Law mandates nondiscrimination based on gender in hiring (1=yes; 0=no)"
"SG.LAW.LEVE.PU"	"Law mandates paid or unpaid maternity leave (1=yes; 0=no)"
"SG.LAW.CHMR"	"Law prohibits or invalidates child or early marriage (1=yes; 0=no)"
"SE.LPV.PRIM.FE"	"Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)"
"SE.LPV.PRIM.MA"	"Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%)"
"HD.HCI.LAYS"	"Learning-Adjusted Years of School"
"HD.HCI.LAYS.FE"	"Learning-Adjusted Years of School, Female"
"HD.HCI.LAYS.MA"	"Learning-Adjusted Years of School, Male"
"SG.LEG.DVAW"	"Legislation exists on domestic violence (1=yes; 0=no)"
"SG.LEG.SXHR.EM"	"Legislation exists on sexual harassment in employment (1=yes; 0=no)"
"SG.LEG.MRRP"	"Legislation explicitly criminalizes marital rape (1=yes; 0=no)"
"SG.LEG.SXHR"	"Legislation specifically addresses sexual harassment (1=yes; 0=no)"
"SP.DYN.LE60.FE.IN"	"Life expectancy at age 60, female (years)"
"SP.DYN.LE60.MA.IN"	"Life expectancy at age 60, male (years)"
"SP.DYN.LE00.FE.IN"	"Life expectancy at birth, female (years)"
"SP.DYN.LE00.MA.IN"	"Life expectancy at birth, male (years)"
"SE.ADT.LITR.FE.ZS"	"Literacy rate, adult female (% of females ages 15 and above)"
"SE.ADT.LITR.MA.ZS"	"Literacy rate, adult male (% of males ages 15 and above)"
"SE.ADT.1524.LT.FM.ZS"	"Literacy rate, youth (ages 15-24), gender parity index (GPI)"
"SE.ADT.1524.LT.FE.ZS"	"Literacy rate, youth female (% of females ages 15-24)"
"SE.ADT.1524.LT.MA.ZS"	"Literacy rate, youth male (% of males ages 15-24)"
"SG.COK.HOUS.ZS"	"Location of cooking: inside the house (% of households)"
"SG.COK.OTHR.ZS"	"Location of cooking: other places (% of households)"
"SG.COK.OUTD.ZS"	"Location of cooking: outdoors (% of households)"
"SG.COK.SBLD.ZS"	"Location of cooking: separate building (% of households)"
"SE.SEC.CMPT.LO.FE.ZS"	"Lower secondary completion rate, female (% of relevant age group)"
"SE.SEC.CMPT.LO.MA.ZS"	"Lower secondary completion rate, male (% of relevant age group)"
"SG.COK.CROP.ZS"	"Main cooking fuel: agricultural crop (% of households)"
"SG.COK.CHCO.ZS"	"Main cooking fuel: charcoal (% of households)"
"SG.COK.DUNG.ZS"	"Main cooking fuel: dung (% of households)"
"SG.COK.ELEC.ZS"	"Main cooking fuel: electricity  (% of households)"
"SG.COK.LPGN.ZS"	"Main cooking fuel: LPG/natural gas/biogas (% of households)"
"SG.COK.STRW.ZS"	"Main cooking fuel: straw/shrubs/grass (% of households)"
"SG.COK.WOOD.ZS"	"Main cooking fuel: wood (% of households)"
"SE.LPV.PRIM.OOS.MA"	"Male primary school age children out-of-school (%)"
"SE.LPV.PRIM.BMP.MA"	"Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold"
"SG.OWN.PRRT.MR"	"Married men and married women have equal ownership rights to property (1=yes; 0=no)"
"SG.LAW.OBHB.MR"	"Married women are required by law to obey their husbands (1=yes; 0=no)"
"SG.OBT.IDCD.MR"	"Married women can obtain a national ID card in the same way as married men (1=yes; 0=no)"
"SH.STA.MMRT"	"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
"SH.MMR.LEVE"	"Maternity leave (days paid)"
"SH.MMR.WAGE.ZS"	"Maternity leave benefits (% of wages paid)"
"SG.OWN.HSNO.MA.ZS"	"Men who do not own a house (% of men)"
"SG.OWN.HSNO.MA.Q1.ZS"	"Men who do not own a house (% of men): Q1 (lowest)"
"SG.OWN.HSNO.MA.Q2.ZS"	"Men who do not own a house (% of men): Q2"
"SG.OWN.HSNO.MA.Q3.ZS"	"Men who do not own a house (% of men): Q3"
"SG.OWN.HSNO.MA.Q4.ZS"	"Men who do not own a house (% of men): Q4"
"SG.OWN.HSNO.MA.Q5.ZS"	"Men who do not own a house (% of men): Q5 (highest)"
"SG.OWN.LDNO.MA.ZS"	"Men who do not own land (% of men)"
"SG.OWN.LDNO.MA.Q1.ZS"	"Men who do not own land (% of men): Q1 (lowest)"
"SG.OWN.LDNO.MA.Q2.ZS"	"Men who do not own land (% of men): Q2"
"SG.OWN.LDNO.MA.Q3.ZS"	"Men who do not own land (% of men): Q3"
"SG.OWN.LDNO.MA.Q4.ZS"	"Men who do not own land (% of men): Q4"
"SG.OWN.LDNO.MA.Q5.ZS"	"Men who do not own land (% of men): Q5 (highest)"
"SG.OWN.HSAL.MA.ZS"	"Men who own a house alone (% of men)"
"SG.OWN.HSAL.MA.Q1.ZS"	"Men who own a house alone (% of men): Q1 (lowest)"
"SG.OWN.HSAL.MA.Q2.ZS"	"Men who own a house alone (% of men): Q2"
"SG.OWN.HSAL.MA.Q3.ZS"	"Men who own a house alone (% of men): Q3"
"SG.OWN.HSAL.MA.Q4.ZS"	"Men who own a house alone (% of men): Q4"
"SG.OWN.HSAL.MA.Q5.ZS"	"Men who own a house alone (% of men): Q5 (highest)"
"SG.OWN.HSAJ.MA.ZS"	"Men who own a house both alone and jointly (% of men)"
"SG.OWN.HSAJ.MA.Q1.ZS"	"Men who own a house both alone and jointly (% of men): Q1 (lowest)"
"SG.OWN.HSAJ.MA.Q2.ZS"	"Men who own a house both alone and jointly (% of men): Q2"
"SG.OWN.HSAJ.MA.Q3.ZS"	"Men who own a house both alone and jointly (% of men): Q3"
"SG.OWN.HSAJ.MA.Q4.ZS"	"Men who own a house both alone and jointly (% of men): Q4"
"SG.OWN.HSAJ.MA.Q5.ZS"	"Men who own a house both alone and jointly (% of men): Q5 (highest)"
"SG.OWN.HSJT.MA.ZS"	"Men who own a house jointly (% of men)"
"SG.OWN.HSJT.MA.Q1.ZS"	"Men who own a house jointly (% of men): Q1 (lowest)"
"SG.OWN.HSJT.MA.Q2.ZS"	"Men who own a house jointly (% of men): Q2"
"SG.OWN.HSJT.MA.Q3.ZS"	"Men who own a house jointly (% of men): Q3"
"SG.OWN.HSJT.MA.Q4.ZS"	"Men who own a house jointly (% of men): Q4"
"SG.OWN.HSJT.MA.Q5.ZS"	"Men who own a house jointly (% of men): Q5 (highest)"
"SG.OWN.LDAL.MA.ZS"	"Men who own land alone (% of men)"
"SG.OWN.LDAL.MA.Q1.ZS"	"Men who own land alone (% of men): Q1 (lowest)"
"SG.OWN.LDAL.MA.Q2.ZS"	"Men who own land alone (% of men): Q2"
"SG.OWN.LDAL.MA.Q3.ZS"	"Men who own land alone (% of men): Q3"
"SG.OWN.LDAL.MA.Q4.ZS"	"Men who own land alone (% of men): Q4"
"SG.OWN.LDAL.MA.Q5.ZS"	"Men who own land alone (% of men): Q5 (highest)"
"SG.OWN.LDAJ.MA.ZS"	"Men who own land both alone and jointly (% of men)"
"SG.OWN.LDAJ.MA.Q1.ZS"	"Men who own land both alone and jointly (% of men): Q1 (lowest)"
"SG.OWN.LDAJ.MA.Q2.ZS"	"Men who own land both alone and jointly (% of men): Q2"
"SG.OWN.LDAJ.MA.Q3.ZS"	"Men who own land both alone and jointly (% of men): Q3"
"SG.OWN.LDAJ.MA.Q4.ZS"	"Men who own land both alone and jointly (% of men): Q4"
"SG.OWN.LDAJ.MA.Q5.ZS"	"Men who own land both alone and jointly (% of men): Q5 (highest)"
"SG.OWN.LDJT.MA.ZS"	"Men who own land jointly (% of men)"
"SG.OWN.LDJT.MA.Q1.ZS"	"Men who own land jointly (% of men): Q1 (lowest)"
"SG.OWN.LDJT.MA.Q2.ZS"	"Men who own land jointly (% of men): Q2"
"SG.OWN.LDJT.MA.Q3.ZS"	"Men who own land jointly (% of men): Q3"
"SG.OWN.LDJT.MA.Q4.ZS"	"Men who own land jointly (% of men): Q4"
"SG.OWN.LDJT.MA.Q5.ZS"	"Men who own land jointly (% of men): Q5 (highest)"
"mobileaccount.t.d.2"	"Mobile money account, female (% age 15+)"
"mobileaccount.t.d.1"	"Mobile money account, male  (% age 15+)"
"SH.DYN.NCOM.FE.ZS"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)"
"SH.DYN.NCOM.MA.ZS"	"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)"
"SH.STA.AIRP.FE.P5"	"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)"
"SH.STA.AIRP.MA.P5"	"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)"
"SH.STA.POIS.P5.FE"	"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)"
"SH.STA.POIS.P5.MA"	"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)"
"SP.DYN.IMRT.FE.IN"	"Mortality rate, infant, female (per 1,000 live births)"
"SP.DYN.IMRT.MA.IN"	"Mortality rate, infant, male (per 1,000 live births)"
"SH.DYN.MORT.FE"	"Mortality rate, under-5, female (per 1,000 live births)"
"SH.DYN.MORT.MA"	"Mortality rate, under-5, male (per 1,000 live births)"
"SG.MMR.LEVE.EP"	"Mothers are guaranteed an equivalent position after maternity leave (1=yes; 0=no)"
"SE.PRM.NINT.FE.ZS"	"Net intake rate in grade 1, female (% of official school-age population)"
"SE.PRM.NINT.MA.ZS"	"Net intake rate in grade 1, male (% of official school-age population)"
"SG.NOD.CONS"	"Nondiscrimination clause mentions gender in the constitution (1=yes; 0=no)"
"SG.JOB.NOPN.EQ"	"Nonpregnant and nonnursing women can do the same jobs as men (1=yes; 0=no)"
"IC.WEF.LLCO.FE"	"Number of female business owners"
"IC.WEF.LLCD.FE"	"Number of female directors"
"IC.WEF.SOLO.FE"	"Number of female sole proprietors"
"IC.WEF.LLCO.MA"	"Number of male business owners"
"IC.WEF.LLCD.MA"	"Number of male directors"
"IC.WEF.SOLO.MA"	"Number of male sole proprietors"
"SH.MMR.DTHS"	"Number of maternal deaths"
"SL.EMP.OWAC.FE.ZS"	"Own-account workers, female (% of female employment) (modeled ILO estimate)"
"SL.EMP.OWAC.MA.ZS"	"Own-account workers, male (% of male employment) (modeled ILO estimate)"
"SL.TLF.PART.TL.FE.ZS"	"Part time employment, female (% of total part time employment)"
"SH.STA.ODFC.ZS"	"People practicing open defecation (% of population)"
"SH.STA.ODFC.RU.ZS"	"People practicing open defecation, rural (% of rural population)"
"SH.STA.ODFC.UR.ZS"	"People practicing open defecation, urban (% of urban population)"
"UIS.FEP.2.V"	"Percentage of students in lower secondary vocational education who are female (%)"
"UIS.FEP.4.V"	"Percentage of students in post-secondary non-tertiary vocational education who are female (%)"
"UIS.FEP.3.V"	"Percentage of students in upper secondary vocational education who are female (%)"
"SE.PRM.PRS5.FE.ZS"	"Persistence to grade 5, female (% of cohort)"
"SE.PRM.PRS5.MA.ZS"	"Persistence to grade 5, male (% of cohort)"
"SP.POP.0014.TO.ZS"	"Population ages 0-14 (% of total)"
"SP.POP.0014.FE.IN"	"Population ages 0-14, female"
"SP.POP.1564.TO.ZS"	"Population ages 15-64 (% of total)"
"SP.POP.1564.FE.IN"	"Population ages 15-64, female"
"SP.POP.1564.MA.IN"	"Population ages 15-64, male"
"SP.POP.1564.TO"	"Population ages 15-64, total"
